84|AccessibleComponent|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleComponent.html|The AccessibleComponent interface should be supported by any object that is rendered on the screen.
85|AccessibleContext|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleContext.html|AccessibleContext represents the minimum information all accessible objects return.
86|AccessibleEditableText|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleEditableText.html|The AccessibleEditableText interface should be implemented by all classes that present editable textual information on the display.
87|AccessibleExtendedComponent|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleExtendedComponent.html|The AccessibleExtendedComponent interface should be supported by any object that is rendered on the screen.
88|AccessibleExtendedTable|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleExtendedTable.html|Class AccessibleExtendedTable provides extended information about a user-interface component that presents data in a two-dimensional table format.
89|AccessibleExtendedText|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleExtendedText.html|The AccessibleExtendedText interface contains additional methods not provided by the AccessibleText interface.
90|AccessibleHyperlink|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleHyperlink.html|Encapsulation of a link, or set of links (e.g. client side imagemap) in a Hypertext document
91|AccessibleHypertext|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleHypertext.html|The AccessibleHypertext class is the base class for all classes that present hypertext information on the display.
92|AccessibleIcon|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleIcon.html|The AccessibleIcon interface should be supported by any object that has an associated icon (e.g., buttons).
93|AccessibleKeyBinding|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleKeyBinding.html|The AccessibleKeyBinding interface should be supported by any object that has a keyboard bindings such as a keyboard mnemonic and/or keyboard shortcut which can be used to select the object.
94|AccessibleObject|class in java.lang.reflect|java.base/java/lang/reflect/AccessibleObject.html|The AccessibleObject class is the base class for Field, Method, and Constructor objects (known as reflected objects).
95|AccessibleRelation|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleRelation.html|Class AccessibleRelation describes a relation between the object that implements the AccessibleRelation and one or more other objects.
96|AccessibleRelationSet|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleRelationSet.html|Class AccessibleRelationSet determines a component's relation set.
97|AccessibleResourceBundle|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleResourceBundle.html|Deprecated.This class is deprecated as of version 1.3 of the Java Platform
98|AccessibleRole|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleRole.html|Class AccessibleRole determines the role of a component.
99|AccessibleSelection|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleSelection.html|This AccessibleSelection interface provides the standard mechanism for an assistive technology to determine what the current selected children are, as well as modify the selection set.
100|AccessibleState|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleState.html|Class AccessibleState describes a component's particular state.
101|AccessibleStateSet|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleStateSet.html|Class AccessibleStateSet determines a component's state set.
102|AccessibleStreamable|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleStreamable.html|The AccessibleStreamable interface should be implemented by the AccessibleContext of any component that presents the raw stream behind a component on the display screen.
103|AccessibleTable|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleTable.html|Class AccessibleTable describes a user-interface component that presents data in a two-dimensional table format.
104|AccessibleTableModelChange|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleTableModelChange.html|The AccessibleTableModelChange interface describes a change to the table model.
105|AccessibleText|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleText.html|The AccessibleText interface should be implemented by all classes that present textual information on the display.
106|AccessibleTextSequence|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleTextSequence.html|This class collects together key details of a span of text.
107|AccessibleValue|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleValue.html|The AccessibleValue interface should be supported by any object that supports a numerical value (e.g., a scroll bar).
